codigo,nombre,tipo,naturaleza,es_banco,numero_cuenta,resultado,activo
11101001,Caja Chica Conacmi,ACTIVO,DEUDORA,0,,,1
11101002,Caja Chica KNH,ACTIVO,DEUDORA,0,,,1
11101003,Caja Chica TOY BOX,ACTIVO,DEUDORA,0,,,1
11101004,Caja Chica BMZ/KNH,ACTIVO,DEUDORA,0,,,1
11101005,Caja Chica PROVICTIMIS,ACTIVO,DEUDORA,0,,,1
11101006,Caja Chica UNICEF,ACTIVO,DEUDORA,0,,,1
11101007,Caja Chica SKN,ACTIVO,DEUDORA,0,,,1
11102001,BI Cta. 004-001110-6 CONACMI Planilla,BANCO,DEUDORA,1,004-001110-6,,1
11102002,BI Cta. 027-057283-4 CONACMI Fondos Propios,BANCO,DEUDORA,1,027-057283-4,,1
11102003,BI Cta. 012-038658-6  CONACMI Fondos Propios,BANCO,DEUDORA,1,012-038658-6,,1
11102004,GYT Cta. 082-0003918-9 CONACMI Fondos Propios,BANCO,DEUDORA,1,082-0003918-9,,1
11102005,GYT Cta. 082-0003916-9 CONACMI Fondos Propios,BANCO,DEUDORA,1,082-0003916-9,,1
11102006,BI Cta. 004-001108-0 KNH,BANCO,DEUDORA,1,004-001108-0,,1
11102007,BI Cta. 004-001109-8 KNH/Diferencial Cambiario,BANCO,DEUDORA,1,004-001109-8,,1
11102008,BI Cta. 002-005272-0 KNH/SANTA FAZ,BANCO,DEUDORA,1,002-005272-0,,1
11102009,BI Cta. 002-007537-0 KNH/SANTA FAZ Diferencial Cambiario,BANCO,DEUDORA,1,002-007537-0,,1
11102010,BI Cta. 002-005041-9 KNH/SALUD Y JUSTICIA,BANCO,DEUDORA,1,002-005041-9,,1
11102011,BI Cta. 012-037806-2 KNH/SALUD Y JUSTICIA Diferencial Cambiario,BANCO,DEUDORA,1,012-037806-2,,1
11102012,BI Cta. 017-016830-2 KNH/BMZ,BANCO,DEUDORA,1,017-016830-2,,1
11102013,BI Cta. No. 002-004292-9  PRO VICTIMIS,BANCO,DEUDORA,1,002-004292-9,,1
11102014,BI Cta. 002-004300-0 TOY BOX,BANCO,DEUDORA,1,002-004300-0,,1
11102015,MC Cta. 46-00855562-00001-1 Plazo Fijo,BANCO,DEUDORA,1,46-00855562-00001-1,,1
11102016,BI Cta. 012-044468-2 UNICEF,BANCO,DEUDORA,1,012-044468-2,,1
11102017,BI Cta 000-006803-1SKN,BANCO,DEUDORA,1,000-006803-1,,1
11102018,BI Cta. 002-005264-7 SKN PROGRAMA,BANCO,DEUDORA,1,002-005264-7,,1
11201001,Cuentas Por Cobrar,ACTIVO,DEUDORA,0,,,1
11201002,Cuentas por cobrar entre proyectos,ACTIVO,DEUDORA,0,,,1
11202001,Gastos Anticipados,ACTIVO,DEUDORA,0,,,1
11202002,Cuentas x Liquidar,ACTIVO,DEUDORA,0,,,1
11202003,Anticipo a Empleados,ACTIVO,DEUDORA,0,,,1
11202004,Anticipos sobre sueldos,ACTIVO,DEUDORA,0,,,1
11202005,Seguros Pagados Anticipados,ACTIVO,DEUDORA,0,,,1
11202006,Alquileres Pagados Anticipados,ACTIVO,DEUDORA,0,,,1
12101001,Mobiliario y Equipo,ACTIVO,DEUDORA,0,,,1
12101002,Equipo De Computación,ACTIVO,DEUDORA,0,,,1
12101003,Vehiculos,ACTIVO,DEUDORA,0,,,1
12101004,Herramienta,ACTIVO,DEUDORA,0,,,1
12101005,Inmuebles,ACTIVO,DEUDORA,0,,,1
12201001,Depreciación Acumulada Equipo de Compu.,ACTIVO,DEUDORA,0,,,1
12201002,Depreciación Acumulada Vehiculos,ACTIVO,DEUDORA,0,,,1
12201003,Depreciación Acumulada Herramienta,ACTIVO,DEUDORA,0,,,1
12201004,Depreciación Acumulada Inmuebles,ACTIVO,DEUDORA,0,,,1
13101001,Derechos,ACTIVO,DEUDORA,0,,,1
13101002,Lineas Telefónicas,ACTIVO,DEUDORA,0,,,1
13101003,Activos en transito,ACTIVO,DEUDORA,0,,,1
13102001,Depositos Alquileres,ACTIVO,DEUDORA,0,,,1
13102002,Depositos Diversos,ACTIVO,DEUDORA,0,,,1
13103,INVERSIONES,ACTIVO,DEUDORA,0,,,1
13103001,Inversiones,ACTIVO,DEUDORA,0,,,1
21101001,Cuentas Por Pagar,PASIVO,ACREEDORA,0,,,1
21101002,Sueldos Por Pagar,PASIVO,ACREEDORA,0,,,1
21101003,Cuota Patronal IGSS,PASIVO,ACREEDORA,0,,,1
21101004,Prestaciones Laborales,PASIVO,ACREEDORA,0,,,1
21101005,Aportes Anticipados,PASIVO,ACREEDORA,0,,,1
21101006,Activos en transito,PASIVO,ACREEDORA,0,,,1
21101007,Embargo,PASIVO,ACREEDORA,0,,,1
21102001,Proveedores Locales,PASIVO,ACREEDORA,0,,,1
21102002,Proveedores Del Exterior,PASIVO,ACREEDORA,0,,,1
21103001,IGSS Laboral,PASIVO,ACREEDORA,0,,,1
21103002,Impuesto Sobre La Renta,PASIVO,ACREEDORA,0,,,1
21103003,IVA Facturas Especiales,PASIVO,ACREEDORA,0,,,1
21104001,Depositos Recibidos,PASIVO,ACREEDORA,0,,,1
21104002,Ingresos Anticipados,PASIVO,ACREEDORA,0,,,1
21104003,Fondos x Aplicar,PASIVO,ACREEDORA,0,,,1
22101001,Creditos Bancarios,PASIVO,ACREEDORA,0,,,1
31101001,Patrimonio CONACMI,PATRIMONIO,ACREEDORA,0,,,1
31101002,Fondo Patrimonial KNH,PATRIMONIO,ACREEDORA,0,,,1
31101003,Fondo Patrimonial TOYBOX,PATRIMONIO,ACREEDORA,0,,,1
31101004,Fondo Patrimonial PROVICTIMIS,PATRIMONIO,ACREEDORA,0,,,1
31101005,Fondo Patrimonial KNH/BMZ,PATRIMONIO,ACREEDORA,0,,,1
31101006,Fondo Patrimonial UNICEF,PATRIMONIO,ACREEDORA,0,,,1
31101007,Fondo Patrimonial KNH/SANTA FAZ,PATRIMONIO,ACREEDORA,0,,,1
31102001,Reserva,PATRIMONIO,ACREEDORA,0,,,1
31103001,Resultado Acumulado,PATRIMONIO,ACREEDORA,0,,,1
31103002,Exeso de Ingreso S/Egreso,PATRIMONIO,ACREEDORA,0,,,1
51101001,Aportes,INGRESOS,ACREEDORA,0,,,1
51101002,Donaciones en Especie,INGRESOS,ACREEDORA,0,,,1
51101003,Terapias,INGRESOS,ACREEDORA,0,,,1
51101004,Donaciones AYNI,INGRESOS,ACREEDORA,0,,,1
51101005,Donaciones KCS,INGRESOS,ACREEDORA,0,,,1
51101006,Donaciones Family,INGRESOS,ACREEDORA,0,,,1
51101007,Donaciones Consorcio,INGRESOS,ACREEDORA,0,,,1
51102001,Donaciones KNH,INGRESOS,ACREEDORA,0,,,1
51102002,Donacion KNH/Santa Faz,INGRESOS,ACREEDORA,0,,,1
51102003,Donacion KNH/Salud y Justicia,INGRESOS,ACREEDORA,0,,,1
51102004,Donacion KNH/BMZ,INGRESOS,ACREEDORA,0,,,1
51102005,Donaciones Fondos Especiales,INGRESOS,ACREEDORA,0,,,1
51102006,Diferencial Cambiario,INGRESOS,ACREEDORA,0,,,1
51102007,Diferencial Cambiario Años Anteriores,INGRESOS,ACREEDORA,0,,,1
51102008,Donaciones TOY BOX,INGRESOS,ACREEDORA,0,,,1
51102009,Donaciones UNICEF,INGRESOS,ACREEDORA,0,,,1
51102010,Donacion RROVICTIMIS,INGRESOS,ACREEDORA,0,,,1
51102011,Donaciones en especie,INGRESOS,ACREEDORA,0,,,1
51102012,Donaciones SKN,INGRESOS,ACREEDORA,0,,,1
52101001,Ingresos Varios,INGRESOS,ACREEDORA,0,,,1
52101002,Ganancia Tipo de Cambio,INGRESOS,ACREEDORA,0,,,1
52101003,Intereses,INGRESOS,ACREEDORA,0,,,1
52101004,Fondos por aplicar años anteriores,INGRESOS,ACREEDORA,0,,,1
52101005,Donaciones en especie,INGRESOS,ACREEDORA,0,,,1
61101001,Sueldos,GASTOS,DEUDORA,0,,,1
61101002,Bonificación Incentivo,GASTOS,DEUDORA,0,,,1
61101003,Vacaciones,GASTOS,DEUDORA,0,,,1
61101004,Aguinaldo,GASTOS,DEUDORA,0,,,1
61101005,Bono 14,GASTOS,DEUDORA,0,,,1
61101006,Indemnizaciones,GASTOS,DEUDORA,0,,,1
61101007,Cuotas Patronales,GASTOS,DEUDORA,0,,,1
61101008,Honorarios,GASTOS,DEUDORA,0,,,1
61101009,Gastos de coordinación,GASTOS,DEUDORA,0,,,1
61101010,Sistematización,GASTOS,DEUDORA,0,,,1
61101011,Mensajeria,GASTOS,DEUDORA,0,,,1
61101012,Movilización,GASTOS,DEUDORA,0,,,1
61101013,Fianzas,GASTOS,DEUDORA,0,,,1
61101014,Seguro de Vida,GASTOS,DEUDORA,0,,,1
61101015,Mantenimiento de Equipo,GASTOS,DEUDORA,0,,,1
61101016,Luz,GASTOS,DEUDORA,0,,,1
61101017,Limpieza,GASTOS,DEUDORA,0,,,1
61101018,Impresiones,GASTOS,DEUDORA,0,,,1
61101019,Telefono e internet,GASTOS,DEUDORA,0,,,1
61101020,Viáticos,GASTOS,DEUDORA,0,,,1
61101021,Pagina Web,GASTOS,DEUDORA,0,,,1
61101022,Materiales de oficina,GASTOS,DEUDORA,0,,,1
61101023,Multas,GASTOS,DEUDORA,0,,,1
61101024,Intereses,GASTOS,DEUDORA,0,,,1
61101025,Suministros de computación,GASTOS,DEUDORA,0,,,1
61101026,Mantenimiento de oficina,GASTOS,DEUDORA,0,,,1
61101027,Depreciación Equipo de Computación,GASTOS,DEUDORA,0,,,1
61101028,Otros Gastos,GASTOS,DEUDORA,0,,,1
61101029,Depreciación Mobiliario y Equipo,GASTOS,DEUDORA,0,,,1
61101030,Depreciación Inmuebles,GASTOS,DEUDORA,0,,,1
61101031,Aportes a Proyectos,GASTOS,DEUDORA,0,,,1
61101032,Parqueo,GASTOS,DEUDORA,0,,,1
61101033,Gastos Bancarios,GASTOS,DEUDORA,0,,,1
61101034,Fondos Especiales Family,GASTOS,DEUDORA,0,,,1
61101035,Juicio Laboral,GASTOS,DEUDORA,0,,,1
61101036,Fondos Especiales Consorcio,GASTOS,DEUDORA,0,,,1
61101037,Seguro de vehículo,GASTOS,DEUDORA,0,,,1
